FIPS,2010 RR_Level,2011 RR_Level,2012 RR_Level,2013 RR_Level,2014 RR_Level,2015 RR_Level,2016 RR_Level,2017 RR_Level,2018 RR_Level,2019 RR_Level,2020 RR_Level,2021 RR_Level,2022 RR_Level
05137,0,0,6,9,14,12,7,10,9,7,6,0,5
05139,0,6,6,5,6,0,6,0,5,5,4,13,4
05141,10,10,0,9,10,9,10,8,11,9,7,5,6
05143,9,10,9,8,9,8,7,7,6,6,5,5,7
05145,12,9,8,13,9,14,12,11,8,11,10,8,10
05147,0,8,0,8,0,8,7,7,6,0,5,0,0
05149,16,12,13,10,9,10,10,10,10,0,11,9,6
06001,10,11,10,11,10,10,8,7,9,10,10,8,8
06003,0,0,0,0,0,0,0,0,0,15,9,10,10
06005,19,18,18,14,19,12,10,9,9,17,10,10,10
06007,19,19,19,18,19,18,17,13,15,15,15,18,17
06009,18,19,15,18,16,16,10,10,9,15,10,10,11
06011,0,19,17,18,0,17,14,13,0,18,15,17,16
06013,10,11,11,12,10,9,9,8,10,10,10,9,8
06015,18,19,17,16,16,17,18,13,12,14,13,13,19
06017,18,16,16,15,17,15,15,11,12,11,10,10,9
06019,12,10,9,10,12,12,11,9,9,10,9,8,8
06021,19,19,18,19,18,18,16,16,17,19,17,15,14
06023,19,19,19,19,18,18,18,17,15,15,14,16,18
06025,8,13,11,15,12,16,13,8,14,11,15,5,7
06027,15,13,14,14,11,13,11,10,12,11,10,18,11
06029,15,16,16,17,17,17,15,15,15,16,16,17,17
06031,11,10,11,13,13,9,7,8,10,11,8,7,8
06033,19,19,19,19,19,19,16,18,19,19,19,19,19
06035,19,19,16,19,19,10,18,10,10,18,10,11,18
06037,9,9,9,9,8,8,8,8,8,9,10,9,9
06039,14,15,15,13,12,13,9,9,7,12,7,9,7
06041,14,9,14,14,8,7,11,10,9,11,11,10,9
06043,16,16,15,14,15,16,12,10,9,12,9,10,11
06045,17,16,18,18,18,14,17,16,18,19,18,19,19
06047,12,13,14,12,10,12,11,9,10,11,10,8,9
06049,18,18,18,17,17,14,17,11,0,14,0,13,16
06051,15,11,12,11,0,13,11,0,10,12,8,10,8
06053,12,11,10,12,10,9,9,8,9,10,11,9,8
06055,13,13,12,11,9,11,7,8,9,9,8,6,10
06057,14,14,18,18,15,14,12,12,11,11,16,15,12
06059,12,11,11,11,11,10,10,9,10,9,10,11,10
06061,10,9,11,12,9,10,9,8,9,11,8,7,8
06063,19,19,16,18,19,12,15,11,13,13,12,12,15
06065,12,11,12,13,12,11,11,11,12,12,13,13,13
06067,15,14,14,15,14,14,11,10,11,13,9,12,13
06069,13,12,12,11,11,11,10,9,9,10,8,9,9
