FIPS,2010 RR_Level,2011 RR_Level,2012 RR_Level,2013 RR_Level,2014 RR_Level,2015 RR_Level,2016 RR_Level,2017 RR_Level,2018 RR_Level,2019 RR_Level,2020 RR_Level,2021 RR_Level,2022 RR_Level
06019,13,14,15,14,13,13,14,15,15,14,15,15,15
06021,5,5,6,4,8,8,11,11,11,3,11,12,12
06023,3,2,3,5,6,8,6,11,12,12,12,11,6
06025,15,13,14,12,13,11,13,15,12,14,12,17,16
06027,12,13,12,12,14,13,14,14,13,14,14,8,14
06029,12,11,11,11,11,11,12,12,12,11,11,11,11
06031,14,14,14,13,13,15,16,15,14,14,15,16,15
06033,2,2,3,1,1,2,11,6,0,0,3,2,2
06035,3,3,11,3,3,14,7,14,14,7,14,14,7
06037,15,15,15,15,15,15,15,15,15,15,14,15,15
06039,12,12,12,13,13,13,15,15,16,13,16,15,16
06041,12,15,12,12,15,15,14,14,15,14,14,14,15
06043,11,11,12,12,12,11,13,14,15,13,15,14,14
06045,11,11,7,9,9,12,11,11,10,3,10,4,4
06047,13,13,12,13,14,13,14,15,14,14,14,15,15
06049,7,6,10,11,11,12,11,14,17,12,18,13,11
06051,12,14,13,14,17,13,14,17,14,13,15,14,15
06053,13,14,14,13,14,15,15,15,15,14,14,15,15
06055,13,13,13,14,15,14,16,15,15,15,15,16,14
06057,12,12,8,10,12,12,13,13,14,14,11,12,13
06059,13,14,14,14,14,14,14,15,14,15,14,14,14
06061,14,15,14,13,14,14,15,15,15,14,15,16,15
06063,5,5,11,6,1,13,12,14,13,13,13,13,12
06065,13,14,13,13,13,14,14,14,13,13,13,13,13
06067,12,12,12,12,12,12,14,14,14,13,15,13,13
06069,13,13,13,14,14,14,14,15,15,14,15,15,15
06071,15,15,15,15,16,16,16,15,15,15,14,14,15
06073,13,13,13,13,14,14,14,14,14,14,14,14,14
06075,11,9,12,12,12,11,12,13,12,4,4,6,9
06077,11,11,12,12,12,13,14,13,14,14,14,14,15
06079,12,12,13,13,14,12,14,14,14,13,12,12,13
06081,14,14,15,15,15,15,16,15,15,15,15,16,16
06083,13,14,14,13,14,13,14,14,14,13,14,14,14
06085,15,15,15,15,15,15,16,16,15,15,15,16,16
06087,11,11,11,12,11,12,13,14,14,13,14,13,13
06089,6,5,5,6,11,13,12,13,13,13,13,12,12
06091,9,6,17,6,5,17,17,17,13,17,13,18,18
06093,5,7,8,11,11,7,8,13,14,12,14,12,11
06095,13,13,15,13,13,14,15,15,13,13,15,14,14
06097,11,14,13,15,13,13,15,14,14,13,12,13,15
06099,11,12,13,13,14,12,14,15,14,14,14,14,13
06101,11,12,13,12,13,15,15,15,14,13,15,13,12
06103,5,11,11,7,5,11,11,12,12,11,12,13,11
06105,5,6,6,7,8,11,11,12,12,11,12,11,10
06107,15,15,15,15,15,15,15,16,15,16,15,15,15
06109,3,8,11,11,4,3,11,12,15,12,15,13,12
06111,13,13,13,12,13,14,14,13,14,14,14,13,14
06113,15,14,14,13,14,13,14,15,15,15,15,16,15
06115,11,11,12,11,9,13,12,13,13,14,14,13,11
08001,12,11,11,12,12,13,13,13,13,13,13,12,12
08003,15,11,16,11,17,13,16,15,16,13,11,5,11
08005,12,13,12,12,12,13,14,15,14,14,14,14,14
08007,17,11,9,17,17,12,12,12,13,12,12,13,12
08009,17,17,17,17,17,17,17,17,17,17,18,18,18
08011,16,16,17,17,17,11,17,16,17,17,17,14,17
08013,14,13,14,12,13,14,15,14,15,14,15,16,16
08014,13,12,12,11,13,13,13,14,13,14,16,16,16
08015,14,14,15,15,16,13,15,14,15,14,13,15,14
08017,17,17,17,17,17,17,17,17,17,17,18,18,18
08019,15,16,13,16,13,16,17,16,17,16,14,18,13
08021,12,2,5,3,5,7,11,11,17,11,7,11,4
08023,12,11,11,2,11,17,17,17,14,13,12,18,11
08025,17,17,14,14,17,17,15,15,14,17,14,12,15
08027,12,17,14,6,17,10,13,17,12,17,11,18,18
08029,17,11,11,15,13,11,13,12,16,10,13,12,13
08031,11,7,11,12,12,13,13,13,12,12,11,11,12
08033,17,17,17,17,16,17,15,17,17,17,18,18,18
08035,14,14,14,14,15,16,15,15,16,15,16,17,17
08037,15,15,15,16,15,16,15,14,16,15,14,16,13
08039,14,14,13,14,13,14,13,15,14,15,13,11,14
08041,13,12,12,12,11,11,12,12,12,12,11,11,11
08043,13,13,13,11,14,11,10,12,12,13,11,14,12
08045,14,11,14,14,15,15,12,14,16,14,15,16,16
08047,17,17,13,17,13,17,17,17,17,15,14,16,18
08049,15,17,14,17,13,17,16,15,16,17,15,17,5
08051,16,14,15,17,15,14,16,15,17,14,16,16,16
08053,17,17,17,17,17,17,17,17,17,17,18,18,18
08055,14,14,13,10,15,11,15,16,13,14,12,11,13
08057,17,17,13,17,12,17,17,15,17,17,18,18,18
08059,13,13,12,12,13,13,14,14,14,14,13,13,14
08061,17,17,17,17,17,17,17,17,17,17,18,17,18
08063,17,17,17,17,17,17,17,17,17,17,18,18,18
08065,14,15,17,15,17,15,17,14,17,15,13,15,14
08067,16,16,11,16,16,12,14,16,16,15,16,15,13
08069,12,11,13,11,12,13,15,14,14,14,15,15,16
08071,15,15,14,12,15,0,16,16,15,16,15,1,15
08073,17,17,15,17,15,17,15,17,15,17,15,14,16
08075,16,16,16,16,16,16,17,17,17,16,17,16,17
08077,12,11,11,13,13,11,13,12,14,13,13,15,15
08079,17,17,17,17,17,17,17,17,17,17,18,18,18
08081,16,13,14,17,12,15,12,16,17,13,15,14,15
08083,15,15,17,16,15,15,8,15,15,14,16,12,15
08085,16,14,14,15,15,14,15,15,16,13,16,16,12
08087,14,14,14,14,15,15,15,16,15,15,14,13,16
08089,15,15,15,14,15,11,15,14,15,16,14,11,15
08091,17,17,17,16,16,17,17,17,17,16,18,18,18
08093,14,14,14,13,14,13,14,13,15,14,12,14,13
08095,17,17,17,17,17,17,17,17,17,17,18,18,18
08097,14,13,15,17,15,14,15,13,16,14,14,15,15
08099,17,17,17,17,17,16,17,17,17,17,18,18,18
08101,12,11,11,6,9,10,12,11,11,11,11,12,11
08103,17,11,14,17,13,17,12,15,17,12,15,13,16
08105,17,12,15,17,17,13,15,14,16,15,13,13,12
08107,16,14,14,16,13,16,14,15,17,15,16,16,14
08109,15,15,17,15,17,13,17,17,15,16,13,14,16
08111,17,17,17,17,16,17,17,17,17,16,18,18,18
08113,17,17,16,16,17,17,17,17,17,17,18,18,17
08115,17,17,17,17,17,17,17,17,17,17,18,18,18
08117,15,15,15,15,15,16,16,15,16,16,14,16,12
08119,13,13,13,13,13,13,12,13,13,13,13,12,13
08121,17,17,17,17,17,17,17,17,16,17,16,14,18
08123,13,13,14,14,13,14,14,15,15,14,15,14,15
08125,17,17,17,17,17,17,17,17,17,17,18,17,18
09110,11,12,11,11,5,5,3,2,2,2,3,6,12
09120,16,16,16,16,16,16,16,16,16,16,17,17,12
09130,11,12,11,12,11,11,10,11,4,9,11,12,13
09140,15,15,15,14,14,13,13,13,13,12,13,13,12
09150,12,12,13,11,8,8,11,8,9,3,11,11,12
09160,14,15,13,12,11,11,12,11,8,9,11,13,11
09170,14,14,15,14,14,13,13,13,13,12,13,13,12
09180,14,13,12,11,12,11,11,11,11,7,11,11,13
09190,15,15,15,14,14,14,14,14,13,13,14,15,13
10001,12,11,11,11,11,11,11,12,9,10,12,11,11
10003,12,12,12,12,12,12,11,7,4,3,11,11,10
10005,11,11,13,12,12,12,10,11,8,4,9,12,11
11001,13,13,13,12,13,12,6,5,9,4,5,6,6
12001,14,14,14,15,15,14,15,15,16,15,15,16,15
12003,13,13,12,12,13,13,12,12,13,13,12,11,11
12005,12,15,14,14,12,13,11,13,13,11,12,11,13
12007,11,12,13,13,14,13,12,13,13,13,13,12,13
12009,8,10,11,11,12,11,11,7,5,2,5,10,14
12011,12,13,13,14,14,13,11,11,12,12,11,12,13
12013,15,16,15,17,12,17,15,13,13,11,13,15,13
12015,15,15,12,12,15,15,15,16,16,15,15,14,14
12017,9,7,5,11,12,12,5,12,11,11,11,9,11
12019,12,13,11,11,13,11,10,11,11,12,12,12,13
