FIPS,year,mortality_rate,national_avg_rate,relative_risk
4023,2010,19.59,9.75482506361323,2.00823693631096
4025,2010,21.8,9.75482506361323,2.2347914860428246
4027,2010,11.75,9.75482506361323,1.2045321083028984
5001,2010,5.2,9.75482506361323,0.5330695287808572
5003,2010,0.0,9.75482506361323,0.0
5005,2010,0.0,9.75482506361323,0.0
5007,2010,14.01,9.75482506361323,1.4362123265807325
5009,2010,0.0,9.75482506361323,0.0
5011,2010,0.0,9.75482506361323,0.0
5013,2010,0.0,9.75482506361323,0.0
5015,2010,3.5,9.75482506361323,0.3587967982178846
5017,2010,0.0,9.75482506361323,0.0
5019,2010,2.26,9.75482506361323,0.23168021827783405
5021,2010,0.0,9.75482506361323,0.0
5023,2010,8.26,9.75482506361323,0.8467604437942078
5025,2010,0.0,9.75482506361323,0.0
