FIPS,MortalityRate,Aged 17 or Younger,Aged 65 or Older,Below Poverty,Crowding,Group Quarters,Limited English Ability,Minority Status,Mobile Homes,Multi-Unit Structures,No High School Diploma,No Vehicle,Single-Parent Household,Unemployment,Year,Anomaly,AnomalyScore,HighMortality
39155,23.3,33.29,69.0,54.07,27.27,49.39,27.59,44.36,20.4,75.62,39.33,61.39,67.72,72.25,2010,0,-0.07199053045440235,True
39163,19.67,71.38,32.97,77.84,70.05,6.07,0.0,3.62,85.32,42.1,81.15,60.66,71.83,78.8,2010,0,-0.08739012627591014,False
42021,27.14,10.31,78.38,44.11,7.35,83.86,28.16,28.73,16.96,68.49,32.24,91.34,31.28,53.76,2010,0,-0.044427975703676126,True
42051,19.76,14.25,73.42,76.41,14.67,69.25,18.1,30.04,51.62,61.68,58.27,89.33,58.81,77.72,2010,0,-0.09381433381671989,False
42073,13.17,23.07,78.19,37.49,20.36,61.13,41.62,29.21,30.96,60.47,39.08,76.98,44.68,55.82,2010,0,-0.07415792079832917,False
42101,22.41,38.63,17.02,92.52,65.4,75.42,91.18,95.19,0.76,94.36,71.7,99.52,96.46,93.51,2010,1,0.015885464670412852,False
47001,26.62,30.2,68.8,61.71,32.33,42.2,48.47,37.68,52.64,77.91,54.96,67.6,54.83,53.06,2010,0,-0.08569731072166836,True
47021,28.13,72.81,10.15,14.32,38.06,9.8,51.52,23.96,56.74,46.97,63.11,6.17,57.03,33.23,2010,0,-0.008885252762260487,True
47025,34.15,21.22,54.61,76.95,37.07,76.32,37.01,11.64,89.24,36.95,95.48,66.13,39.65,69.41,2010,0,-0.09627939429090765,True
47129,28.29,21.22,30.42,76.57,70.17,94.93,39.81,26.51,93.73,11.07,83.25,42.87,56.23,64.42,2010,0,-0.040730688319375874,True
47145,35.07,19.15,76.98,42.1,32.71,26.89,32.3,27.33,69.7,44.74,64.35,34.53,32.65,65.95,2010,0,-0.07284780649069589,True
47173,28.0,58.33,30.96,86.02,41.27,11.71,7.76,6.97,93.5,22.05,97.93,31.31,53.15,55.32,2010,0,-0.06269269072657763,True
51021,37.42,3.85,68.58,29.43,13.3,93.41,19.03,19.89,91.21,0.0,57.92,23.45,12.06,27.66,2010,1,0.029065172705627584,True
51027,58.67,5.91,55.69,85.67,3.66,80.93,42.67,12.34,97.54,10.72,98.66,94.58,22.34,93.95,2010,0,-0.031632069425139964,True
