FIPS,2018 Social Capital
24011,-0.4748353
24013,0.6428356
24015,-0.4977205
24017,-0.2492082
24019,-0.842223
24021,0.5177422
24023,0.3134738
24025,0.2672956
24027,0.8955839
24029,0.2310429
24031,0.723259
24033,-0.9602122
24035,0.5826473
24037,0.162169
24039,-1.177212
24041,0.2434757
24043,-0.0368842
24045,-0.8332955
24047,-0.5412013
24510,-3.505136
25001,0.3551968
25003,0.0195773
25005,-0.6400496
25007,
25009,0.016234
25011,0.3595679
25013,-1.148824
25015,0.4846374
25017,0.9434355
25019,
25021,1.098903
25023,0.2017249
25025,-1.58171
25027,-0.0143748
26001,0.6603352
26003,0.167789
26005,0.6382709
26007,0.3281754
26009,0.6334137
26011,0.3011402
26013,-0.3088068
26015,0.8310919
26017,-0.1378153
26019,0.5005172
26021,-0.3931048
26023,0.3165879
26025,-0.8227585
26027,0.1984584
26029,0.8145991
26031,0.204041
26033,-0.3012003
26035,-0.1203928
26037,1.075438
26039,-0.5303321
26041,0.5821184
26043,0.7583219
26045,0.5532169
26047,0.8663937
26049,-1.247481
26051,0.2706646
26053,-0.0217923
26055,0.7360339
26057,0.0900807
26059,0.2339956
26061,0.7026832
26063,0.4097856
26065,-0.5061945
26067,0.3351811
26069,0.2034068
26071,0.2832134
26073,-0.3412621
26075,-0.5113976
26077,-0.2807278
26079,0.1979354
26081,0.0673631
26083,-0.6130522
26085,-0.8641281
26087,0.5661417
26089,1.033639
26091,0.0863588
26093,0.9826844
26095,-0.1518988
26097,0.5832773
26099,0.0609596
26101,0.0782563
26103,0.432848
26105,-0.1671611
26107,-0.6758597
26109,0.066807
26111,1.017936
26113,0.2831987
26115,0.3620782
26117,-0.0192453
26119,0.1097387
26121,-0.6769786
26123,0.1173835
26125,0.7433369
26127,0.0720616
26129,-0.1913815
26131,1.07509
26133,0.0185317
26135,0.3089239
26137,0.2510304
26139,0.8297396
26141,0.8490093
26143,-0.6766404
26145,-1.073958
26147,0.123795
26149,-0.0232489
26151,0.2937884
26153,-0.4654944
26155,0.5200855
26157,0.6239877
26159,0.0684564
26161,0.4636319
26163,-2.06334
26165,-0.0812541
27001,0.9688841
27003,1.168266
27005,1.248299
27007,0.3570684
27009,0.9399685
27011,2.542705
27013,0.8037232
27015,1.726602
27017,1.029449
27019,2.083736
27021,0.612564
27023,1.533367
27025,1.471388
27027,1.335225
27029,1.067584
27031,1.83865
27033,1.769023
27035,1.086461
27037,1.342563
27039,1.546879
27041,1.78457
27043,1.661906
27045,2.14802
27047,1.078253
27049,1.601633
27051,2.189917
27053,0.774052
27055,1.785369
27057,1.254563
27059,1.411673
27061,1.059704
27063,1.841334
27065,0.8600749
27067,1.171786
27069,2.00508
27071,
27073,2.216351
27075,1.453169
27077,1.440774
27079,1.546547
27081,1.903924
27083,1.463751
27085,1.288328
27087,
27089,2.393409
27091,1.16948
27093,1.648733
27095,0.8014455
27097,1.582488
27099,0.922201
27101,2.067436
27103,1.582897
27105,1.085444
27107,1.851731
27109,1.338084
27111,1.463727
27113,0.9803246
27115,0.3892823
27117,1.986272
27119,1.257563
27121,2.061291
27123,0.4354487
27125,1.54479
27127,1.73973
27129,1.689668
27131,1.250195
27133,0.3840882
27135,1.635244
27137,0.8008842
27139,1.611433
27141,1.323813
27143,1.91707
27145,1.02745
27147,1.429863
27149,2.193958
27151,1.438306
27153,1.401704
27155,2.303374
27157,1.450701
27159,1.42409
27161,1.469315
27163,1.643286
27165,1.149971
27167,1.568852
27169,1.340203
27171,1.667727
27173,1.744208
28001,-0.9488318
28003,-0.0201809
28005,-0.288201
28007,-1.053049
28009,
28011,-1.305468
28013,-0.1937087
28015,0.5032141
28017,-0.3466977
28019,0.0897936
28021,-1.656039
28023,0.0907812
28025,-0.707728
28027,-2.688568
28029,-0.7577209
28031,-0.9320021
28033,-0.304265
28035,-0.7108182
28037,-0.2021098
28039,0.295848
28041,0.1408577
28043,-1.332111
28045,-0.5151217
28047,-0.9887852
28049,-1.674509
28051,-2.126071
28053,-3.312363
28055,-1.476681
28057,-0.086275
28059,-0.8625389
28061,-0.7956752
28063,
28065,-2.089572
28067,-0.8532441
28069,-0.3603878
28071,-0.9850596
28073,-0.1585547
28075,-0.9675751
28077,-0.0991054
28079,-0.41732
28081,-0.1389529
28083,-2.393755
28085,0.1041339
28087,-0.6995317
28089,0.2096907
28091,-0.1647543
28093,-1.32228
28095,-0.2335358
28097,-0.8046858
28099,-1.123661
28101,-0.6553134
28103,-0.1795291
28105,-0.6408588
28107,-1.220874
28109,-0.310096
28111,-0.9055905
28113,-1.182235
28115,-0.1206441
28117,-0.2711747
28119,-1.719969
28121,0.2958215
28123,-1.632898
28125,-0.6662284
28127,-0.7057281
28129,-0.6581873
28131,
28133,-2.35975
28135,-1.694062
28137,-0.1139244
28139,0.3965679
28141,0.064926
28143,-2.025747
28145,0.6026188
28147,-0.2871503
28149,-1.046119
28151,-1.753086
28153,-0.1998454
28155,0.6046218
28157,-1.610901
28159,-0.3137574
28161,-0.3541358
28163,-1.502862
29001,0.3105474
29003,0.7257376
29005,1.435384
29007,-0.1148202
29009,0.0418197
29011,0.1792093
29013,0.0196466
29015,-0.0288183
29017,0.0459637
29019,0.1302701
29021,-0.4520556
29023,-1.054342
29025,0.4915014
29027,-0.019058
29029,-0.3491881
29031,0.0578605
29033,0.9145998
29035,
29037,0.620032
29039,0.0529195
29041,0.7553247
29043,0.6970575
29045,0.819234
29047,-0.7100981
29049,0.0349797
29051,0.6242542
29053,0.6101316
29055,-0.4381652
29057,0.4332178
29059,-0.0292465
29061,0.9241909
29063,0.4660926
29065,0.2680175
29067,0.2556946
29069,-1.047501
29071,0.2753713
29073,0.5922255
29075,1.703661
29077,-0.763164
29079,0.8204368
29081,1.055983
29083,0.2884522
29085,0.6449555
29087,1.640304
29089,0.6429229
29091,0.166573
29093,-0.727484
29095,-1.239744
29097,-0.1223435
29099,0.1055971
29101,0.4133799
29103,0.9639294
29105,0.2182542
29107,0.6932316
29109,0.0640372
29111,0.8457758
29113,0.2556442
29115,0.1515481
29117,0.5955669
29119,-1.243305
29121,0.4213151
29123,0.8349956
29125,0.2367681
29127,-0.1605162
29129,1.307713
29131,0.0967023
29133,-1.155154
29135,0.824702
29137,1.010486
29139,0.5494223
29141,0.0187141
29143,-0.7532643
29145,0.2156993
29147,0.5547811
29149,0.1231555
29151,1.080357
29153,-0.0064572
