FIPS Code,2010 Community Health,2011 Community Health,2012 Community Health,2013 Community Health,2014 Community Health,2015 Community Health,2016 Community Health,2017 Community Health,2018 Community Health,2019 Community Health,2020 Community Health,2021 Community Health,2022 Community Health
01061,0,0,0,0,0,0,0,0,12.28602157,0,0,0,0
01063,0,0,0,0,0,0,0,0,15.99911153,0,0,0,0
01065,0,0,0,0,0,0,0,0,19.12959802,0,0,0,0
01067,0,0,0,0,0,0,0,0,9.821835045,0,0,0,0
01069,0,0,0,0,0,0,0,0,9.183215169,0,0,0,0
01071,0,0,0,0,0,0,0,0,10.03009537,0,0,0,0
01073,0,0,0,0,0,0,0,0,12.64652468,0,0,0,0
01075,0,0,0,0,0,0,0,0,21.44813367,0,0,0,0
01077,0,0,0,0,0,0,0,0,23.50173983,0,0,0,0
01079,0,0,0,0,0,0,0,0,7.496700607,0,0,0,0
01081,0,0,0,0,0,0,0,0,6.469250478,0,0,0,0
01083,0,0,0,0,0,0,0,0,6.413890298,0,0,0,0
01085,0,0,0,0,0,0,0,0,18.01909846,0,0,0,0
01087,0,0,0,0,0,0,0,0,20.44110978,0,0,0,0
01089,0,0,0,0,0,0,0,0,8.128076933,0,0,0,0
01091,0,0,0,0,0,0,0,0,17.81083814,0,0,0,0
01093,0,0,0,0,0,0,0,0,12.96616158,0,0,0,0
01095,0,0,0,0,0,0,0,0,8.725176674,0,0,0,0
01097,0,0,0,0,0,0,0,0,10.11313679,0,0,0,0
01099,0,0,0,0,0,0,0,0,15.17332065,0,0,0,0
01101,0,0,0,0,0,0,0,0,13.88883392,0,0,0,0
01103,0,0,0,0,0,0,0,0,9.183215169,0,0,0,0
01105,0,0,0,0,0,0,0,0,14.70143982,0,0,0,0
01107,0,0,0,0,0,0,0,0,18.42177678,0,0,0,0
01109,0,0,0,0,0,0,0,0,13.36159291,0,0,0,0
01111,0,0,0,0,0,0,0,0,16.45055811,0,0,0,0
01113,0,0,0,0,0,0,0,0,8.045035518,0,0,0,0
01115,0,0,0,0,0,0,0,0,6.205631118,0,0,0,0
01117,0,0,0,0,0,0,0,0,6.025052028,0,0,0,0
01119,0,0,0,0,0,0,0,0,23.16891795,0,0,0,0
01121,0,0,0,0,0,0,0,0,9.599733529,0,0,0,0
01123,0,0,0,0,0,0,0,0,12.98000162,0,0,0,0
01125,0,0,0,0,0,0,0,0,8.884666444,0,0,0,0
01127,0,0,0,0,0,0,0,0,12.54964322,0,0,0,0
01129,0,0,0,0,0,0,0,0,17.97757833,0,0,0,0
01131,0,0,0,0,0,0,0,0,24.55753198,0,0,0,0
01133,0,0,0,0,0,0,0,0,11.55711215,0,0,0,0
02013,0,0,0,0,0,0,0,0,21.58136687,0,0,0,0
02016,0,0,0,0,0,0,0,0,25.7109752,0,0,0,0
02020,0,0,0,0,0,0,0,0,27.4528465,0,0,0,0
02050,0,0,0,0,0,0,0,0,25.19757423,0,0,0,0
02060,0,0,0,0,0,0,0,0,60.31769918,0,0,0,0
02068,0,0,0,0,0,0,0,0,43.77092613,0,0,0,0
