FIPS,Deaths,Population,Crude Rate
8095,0,4286,Unreliable
8097,Suppressed,17950,Suppressed
8099,Suppressed,12164,Suppressed
8101,45,167529,26.86
8103,Suppressed,6336,Suppressed
8105,Suppressed,11250,Suppressed
8107,Suppressed,25733,Suppressed
8109,Suppressed,6843,Suppressed
8111,0,762,Unreliable
8113,Suppressed,8191,Suppressed
8115,Suppressed,2303,Suppressed
8117,Suppressed,31007,Suppressed
8119,Suppressed,25083,Suppressed
8121,Suppressed,4909,Suppressed
8123,39,314305,12.41
8125,0,10020,Unreliable
9001,185,943823,19.6
9003,298,892697,33.38
9005,79,181111,43.62
9007,65,162682,39.96
9009,264,857620,30.78
9011,98,266784,36.73
9013,39,150921,25.84
9015,41,117027,35.03
10001,64,178550,35.84
10003,251,559335,44.87
10005,86,229286,37.51
11001,254,702455,36.16
12001,21,269956,7.78
12003,Suppressed,28355,Suppressed
12005,37,185287,19.97
12007,Suppressed,27732,Suppressed
12009,258,596849,43.23
12011,444,1951260,22.75
12013,Suppressed,14587,Suppressed
12015,14,184998,Unreliable
12017,49,147929,33.12
12019,59,216072,27.31
12021,57,378488,15.06
12023,17,70503,Unreliable
12027,Suppressed,37489,Suppressed
12029,Suppressed,16700,Suppressed
12031,303,950181,31.89
12033,83,315534,26.3
12035,19,112067,Unreliable
12037,Suppressed,11736,Suppressed
12039,Suppressed,45894,Suppressed
12041,Suppressed,18256,Suppressed
12043,Suppressed,13724,Suppressed
12045,Suppressed,16164,Suppressed
12047,0,14310,Unreliable
12049,Suppressed,27245,Suppressed
12051,Suppressed,41556,Suppressed
12053,44,190865,23.05
12055,21,105424,19.92
12057,271,1436888,18.86
12059,Suppressed,19477,Suppressed
12061,38,157413,24.14
12063,Suppressed,48305,Suppressed
12065,Suppressed,14288,Suppressed
12067,Suppressed,8732,Suppressed
12069,47,356495,13.18
12071,235,754610,31.14
12073,27,292502,9.23
12075,Suppressed,40770,Suppressed
12077,Suppressed,8457,Suppressed
12079,Suppressed,18529,Suppressed
12081,97,394855,24.57
12083,132,359977,36.67
12085,50,160912,31.07
12086,258,2761581,9.34
12087,18,75027,Unreliable
12089,20,85832,23.3
12091,56,207269,27.02
12093,13,41537,Unreliable
12095,260,1380645,18.83
12097,82,367990,22.28
12099,409,1485941,27.52
12101,168,539630,31.13
12103,298,975280,30.56
12105,146,708009,20.62
12107,15,74163,Unreliable
12109,32,254261,12.59
12111,73,321128,22.73
12113,29,179349,16.17
12115,98,426718,22.97
12117,98,467832,20.95
12119,18,128754,Unreliable
12121,Suppressed,44191,Suppressed
12123,Suppressed,21623,Suppressed
12125,Suppressed,14940,Suppressed
12127,178,547538,32.51
12129,Suppressed,32461,Suppressed
12131,12,71375,Unreliable
12133,Suppressed,24880,Suppressed
13001,Suppressed,18507,Suppressed
13003,Suppressed,8297,Suppressed
13005,0,11185,Unreliable
13007,0,3092,Unreliable
13009,Suppressed,44823,Suppressed
13011,Suppressed,18988,Suppressed
13013,14,80809,Unreliable
13015,20,106408,18.8
13017,0,16787,Unreliable
13019,Suppressed,19252,Suppressed
13021,12,153095,Unreliable
13023,0,12838,Unreliable
13025,Suppressed,18897,Suppressed
13027,Suppressed,15513,Suppressed
13029,Suppressed,38109,Suppressed
13031,Suppressed,77296,Suppressed
13033,Suppressed,22423,Suppressed
13035,Suppressed,24193,Suppressed
13037,0,6352,Unreliable
13039,Suppressed,53677,Suppressed
13043,Suppressed,10836,Suppressed
13045,17,118121,Unreliable
13047,Suppressed,67420,Suppressed
13049,Suppressed,12968,Suppressed
13051,42,289195,14.52
13053,Suppressed,10684,Suppressed
13055,10,24790,Unreliable
13057,51,254149,20.07
13059,12,127330,Unreliable
13061,0,2887,Unreliable
13063,25,289615,8.63
13065,0,6648,Unreliable
13067,111,756865,14.67
13069,11,43093,Unreliable
13071,Suppressed,45592,Suppressed
13073,24,154291,15.56
13075,Suppressed,17162,Suppressed
13077,20,145864,13.71
13079,0,12318,Unreliable
13081,Suppressed,22601,Suppressed
13083,Suppressed,16226,Suppressed
13085,11,25083,Unreliable
13087,Suppressed,26575,Suppressed
13089,87,756558,11.5
13091,Suppressed,20705,Suppressed
13093,Suppressed,13706,Suppressed
13095,Suppressed,91243,Suppressed
13097,27,145331,18.58
13099,0,10247,Unreliable
13101,0,4000,Unreliable
13103,Suppressed,62190,Suppressed
13105,Suppressed,19120,Suppressed
13107,Suppressed,22612,Suppressed
13109,0,10721,Unreliable
13111,Suppressed,25964,Suppressed
13113,Suppressed,113459,Suppressed
13115,20,97927,20.42
13117,21,236612,8.88
13119,Suppressed,23023,Suppressed
13121,170,1050114,16.19
13123,Suppressed,30816,Suppressed
13125,Suppressed,2995,Suppressed
13127,11,85219,Unreliable
13129,11,57685,Unreliable
13131,0,24748,Unreliable
13133,Suppressed,17698,Suppressed
13135,100,927781,10.78
13137,Suppressed,45388,Suppressed
13139,30,202148,14.84
13141,0,8348,Unreliable
13143,Suppressed,29533,Suppressed
13145,Suppressed,34475,Suppressed
13147,Suppressed,26099,Suppressed
13149,0,11879,Unreliable
13151,36,230220,15.64
13153,15,155469,Unreliable
13155,Suppressed,9398,Suppressed
13157,14,70422,Unreliable
13159,Suppressed,14040,Suppressed
13161,Suppressed,15029,Suppressed
13163,Suppressed,15430,Suppressed
13165,Suppressed,8683,Suppressed
13167,Suppressed,9708,Suppressed
13169,Suppressed,28616,Suppressed
13171,Suppressed,19000,Suppressed
13173,0,10340,Unreliable
13175,Suppressed,47325,Suppressed
13177,Suppressed,29764,Suppressed
13179,Suppressed,61497,Suppressed
13181,0,7915,Unreliable
13183,Suppressed,18998,Suppressed
13185,12,116321,Unreliable
13187,Suppressed,32955,Suppressed
13189,Suppressed,21531,Suppressed
13191,Suppressed,14340,Suppressed
13193,0,13143,Unreliable
13195,Suppressed,29650,Suppressed
13197,Suppressed,8351,Suppressed
13199,Suppressed,21068,Suppressed
13201,Suppressed,5686,Suppressed
13205,Suppressed,22192,Suppressed
13207,Suppressed,27520,Suppressed
13209,0,9193,Unreliable
13211,Suppressed,18853,Suppressed
13213,10,39921,Unreliable
13215,19,194160,Unreliable
13217,11,109541,Unreliable
13219,Suppressed,39272,Suppressed
13221,Suppressed,15054,Suppressed
13223,19,164044,Unreliable
13225,Suppressed,27297,Suppressed
13227,Suppressed,31980,Suppressed
13229,Suppressed,19389,Suppressed
13231,Suppressed,18634,Suppressed
13233,Suppressed,42470,Suppressed
13235,Suppressed,11069,Suppressed
13237,Suppressed,21809,Suppressed
13239,0,2279,Unreliable
13241,0,16867,Unreliable
13243,0,6833,Unreliable
13245,61,201554,30.26
13247,16,90594,Unreliable
13249,0,5236,Unreliable
13251,0,13938,Unreliable
13253,Suppressed,8315,Suppressed
13255,12,66100,Unreliable
13257,Suppressed,26035,Suppressed
13259,0,6199,Unreliable
13261,Suppressed,29733,Suppressed
13263,0,6272,Unreliable
13265,0,1608,Unreliable
13267,Suppressed,25391,Suppressed
13269,Suppressed,8039,Suppressed
13271,Suppressed,15876,Suppressed
13273,0,8611,Unreliable
13275,Suppressed,44448,Suppressed
13277,Suppressed,40571,Suppressed
13279,Suppressed,26887,Suppressed
13281,Suppressed,11852,Suppressed
13283,0,6809,Unreliable
13285,Suppressed,70034,Suppressed
13287,Suppressed,7912,Suppressed
13289,Suppressed,8188,Suppressed
13291,Suppressed,24001,Suppressed
13293,Suppressed,26215,Suppressed
13295,Suppressed,69410,Suppressed
13297,21,93503,22.46
13299,Suppressed,35680,Suppressed
13301,Suppressed,5251,Suppressed
13303,0,20386,Unreliable
13305,Suppressed,29808,Suppressed
13307,0,2611,Unreliable
13309,0,7879,Unreliable
13311,Suppressed,29970,Suppressed
13313,10,104062,Unreliable
13315,Suppressed,8812,Suppressed
13317,Suppressed,9876,Suppressed
13319,Suppressed,9036,Suppressed
13321,Suppressed,20299,Suppressed
15001,26,200983,12.94
15003,148,980080,15.1
15005,0,88,Unreliable
15007,12,72133,Unreliable
15009,27,167207,16.15
16001,73,469966,15.53
16003,0,4250,Unreliable
16005,14,87138,Unreliable
16007,Suppressed,6050,Suppressed
16009,Suppressed,9226,Suppressed
16011,Suppressed,46236,Suppressed
16013,Suppressed,22601,Suppressed
16015,0,7634,Unreliable
16017,Suppressed,44727,Suppressed
16019,22,116854,18.83
16021,Suppressed,11948,Suppressed
16023,0,2611,Unreliable
16025,0,1127,Unreliable
16027,26,223499,11.63
16029,0,7060,Unreliable
16031,Suppressed,23864,Suppressed
16033,0,852,Unreliable
16035,0,8758,Unreliable
16037,Suppressed,4280,Suppressed
16039,Suppressed,27259,Suppressed
16041,0,13726,Unreliable
16043,0,13168,Unreliable
16045,Suppressed,17634,Suppressed
16047,Suppressed,15196,Suppressed
16049,Suppressed,16513,Suppressed
16051,Suppressed,29439,Suppressed
16053,Suppressed,24015,Suppressed
16055,23,161505,14.24
16057,Suppressed,40134,Suppressed
16059,Suppressed,7961,Suppressed
16061,0,3861,Unreliable
16063,Suppressed,5360,Suppressed
16065,0,39304,Unreliable
16067,Suppressed,20825,Suppressed
16069,Suppressed,40408,Suppressed
16071,Suppressed,4488,Suppressed
16073,Suppressed,11693,Suppressed
16075,Suppressed,23551,Suppressed
16077,0,7768,Unreliable
16079,Suppressed,12796,Suppressed
16081,Suppressed,11640,Suppressed
16083,16,86081,Unreliable
16085,Suppressed,11041,Suppressed
16087,0,10161,Unreliable
17001,12,65691,Unreliable
17003,Suppressed,6060,Suppressed
17005,Suppressed,16630,Suppressed
17007,12,53577,Unreliable
17009,0,6556,Unreliable
17011,Suppressed,32993,Suppressed
17013,0,4802,Unreliable
17015,0,14312,Unreliable
17017,Suppressed,12260,Suppressed
17019,32,209983,15.24
17021,Suppressed,32661,Suppressed
17023,Suppressed,15596,Suppressed
17025,0,13253,Unreliable
17027,Suppressed,37639,Suppressed
17029,Suppressed,50885,Suppressed
17031,1214,5180493,23.43
17033,Suppressed,18807,Suppressed
17035,Suppressed,10808,Suppressed
17037,15,104143,Unreliable
17039,Suppressed,15769,Suppressed
17041,Suppressed,19479,Suppressed
17043,157,928589,16.91
17045,Suppressed,17360,Suppressed
17047,0,6392,Unreliable
17049,Suppressed,34208,Suppressed
17051,Suppressed,21416,Suppressed
17053,Suppressed,13264,Suppressed
17055,Suppressed,38701,Suppressed
17057,Suppressed,34844,Suppressed
17059,0,5058,Unreliable
17061,Suppressed,13044,Suppressed
17063,12,50972,Unreliable
17065,0,8163,Unreliable
17067,Suppressed,17844,Suppressed
17069,Suppressed,3910,Suppressed
17071,Suppressed,6709,Suppressed
17073,Suppressed,49090,Suppressed
17075,Suppressed,27604,Suppressed
17077,18,57419,Unreliable
17079,Suppressed,9611,Suppressed
17081,Suppressed,37820,Suppressed
17083,10,21847,Unreliable
17085,Suppressed,21366,Suppressed
17087,Suppressed,12456,Suppressed
17089,74,534216,13.85
17091,28,110024,25.45
17093,19,127915,Unreliable
17095,Suppressed,50112,Suppressed
17097,99,700832,14.13
17099,45,109430,41.12
17101,Suppressed,15765,Suppressed
17103,Suppressed,34223,Suppressed
17105,12,35761,Unreliable
17107,Suppressed,28925,Suppressed
17109,Suppressed,29955,Suppressed
17111,58,308570,18.8
17113,32,172828,18.52
17115,23,104712,21.97
17117,10,45313,Unreliable
17119,109,264461,41.22
17121,Suppressed,37620,Suppressed
17123,Suppressed,11534,Suppressed
17125,Suppressed,13565,Suppressed
17127,Suppressed,14080,Suppressed
17129,Suppressed,12288,Suppressed
17131,Suppressed,15601,Suppressed
17133,Suppressed,34335,Suppressed
17135,Suppressed,28601,Suppressed
17137,Suppressed,33976,Suppressed
17139,Suppressed,14717,Suppressed
17141,Suppressed,50923,Suppressed
17143,51,180621,28.24
17145,Suppressed,21174,Suppressed
17147,Suppressed,16396,Suppressed
17149,0,15611,Unreliable
17151,0,4212,Unreliable
17153,Suppressed,5463,Suppressed
17155,0,5740,Unreliable
17157,Suppressed,32106,Suppressed
17159,Suppressed,15763,Suppressed
17161,17,143477,Unreliable
17163,71,261059,27.2
17165,Suppressed,23906,Suppressed
17167,44,195348,22.52
17169,0,6907,Unreliable
17171,Suppressed,4926,Suppressed
17173,Suppressed,21741,Suppressed
17175,Suppressed,5427,Suppressed
17177,Suppressed,44753,Suppressed
17179,26,132328,19.65
17181,Suppressed,16841,Suppressed
17183,16,76806,Unreliable
17185,0,11549,Unreliable
17187,Suppressed,17032,Suppressed
17189,Suppressed,13995,Suppressed
17191,Suppressed,16332,Suppressed
17193,0,13665,Unreliable
17195,Suppressed,55626,Suppressed
17197,130,692310,18.78
17199,13,67056,Unreliable
17201,149,284081,52.45
17203,Suppressed,38463,Suppressed
18001,Suppressed,35636,Suppressed
18003,85,375351,22.65
18005,21,82753,25.38
18007,0,8653,Unreliable
18009,Suppressed,11930,Suppressed
18011,15,66999,Unreliable
18013,Suppressed,15234,Suppressed
18015,Suppressed,20127,Suppressed
18017,Suppressed,37955,Suppressed
18019,51,117360,43.46
18021,Suppressed,26170,Suppressed
18023,10,32250,Unreliable
18025,Suppressed,10558,Suppressed
18027,Suppressed,33147,Suppressed
18029,11,49568,Unreliable
18031,Suppressed,26794,Suppressed
18033,Suppressed,43226,Suppressed
18035,41,114772,35.72
18037,Suppressed,42565,Suppressed
18039,31,205560,15.08
18041,15,23047,Unreliable
18043,21,77781,27
18045,Suppressed,16351,Suppressed
18047,12,22736,Unreliable
18049,Suppressed,20092,Suppressed
18051,Suppressed,33452,Suppressed
18053,22,65936,33.37
18055,Suppressed,32006,Suppressed
18057,40,330086,12.12
18059,20,76351,26.19
18061,Suppressed,40350,Suppressed
18063,25,167009,14.97
18065,Suppressed,48271,Suppressed
18067,27,82366,32.78
18069,Suppressed,36240,Suppressed
18071,20,44111,45.34
18073,Suppressed,33370,Suppressed
18075,11,20764,Unreliable
18077,Suppressed,32208,Suppressed
18079,12,27611,Unreliable
18081,35,156225,22.4
18083,Suppressed,36895,Suppressed
18085,12,79344,Unreliable
18087,Suppressed,39330,Suppressed
18089,133,484411,27.46
18091,21,110007,19.09
18093,Suppressed,45668,Suppressed
18095,37,129641,28.54
18097,337,954670,35.3
18099,Suppressed,46248,Suppressed
18101,Suppressed,10217,Suppressed
18103,Suppressed,35567,Suppressed
18105,26,146917,17.7
18107,14,38346,Unreliable
18109,28,70116,39.93
18111,Suppressed,14011,Suppressed
18113,Suppressed,47532,Suppressed
18115,Suppressed,5844,Suppressed
18117,Suppressed,19489,Suppressed
18119,Suppressed,20845,Suppressed
18121,Suppressed,16927,Suppressed
18123,0,19102,Unreliable
18125,0,12410,Unreliable
18127,37,169594,21.82
18129,Suppressed,25540,Suppressed
18131,Suppressed,12469,Suppressed
18133,Suppressed,37779,Suppressed
18135,Suppressed,24851,Suppressed
18137,Suppressed,28523,Suppressed
18139,Suppressed,16663,Suppressed
18141,64,270771,23.64
18143,10,23878,Unreliable
18145,12,44593,Unreliable
18147,0,20327,Unreliable
18149,10,22935,Unreliable
18151,0,34586,Unreliable
18153,Suppressed,20690,Suppressed
18155,Suppressed,10717,Suppressed
18157,43,193048,22.27
18159,Suppressed,15128,Suppressed
18161,Suppressed,7037,Suppressed
18163,41,180974,22.66
18165,0,15479,Unreliable
18167,17,107386,Unreliable
18169,Suppressed,31280,Suppressed
18171,Suppressed,8263,Suppressed
18173,Suppressed,62567,Suppressed
18175,Suppressed,27943,Suppressed
18177,42,65936,63.7
18179,Suppressed,28206,Suppressed
18181,Suppressed,24133,Suppressed
18183,Suppressed,34074,Suppressed
19001,0,7063,Unreliable
19003,0,3645,Unreliable
19005,0,13832,Unreliable
19007,Suppressed,12437,Suppressed
19009,0,5506,Unreliable
19011,Suppressed,25642,Suppressed
19013,14,132408,Unreliable
19015,Suppressed,26346,Suppressed
19017,Suppressed,24947,Suppressed
19019,Suppressed,21199,Suppressed
19021,Suppressed,19874,Suppressed
19023,Suppressed,14539,Suppressed
19025,0,9699,Unreliable
19027,0,20154,Unreliable
19029,Suppressed,12930,Suppressed
19031,0,18627,Unreliable
19033,Suppressed,42647,Suppressed
19035,0,11321,Unreliable
19037,0,11964,Unreliable
19039,0,9423,Unreliable
19041,Suppressed,16134,Suppressed
19043,Suppressed,17556,Suppressed
19045,Suppressed,46518,Suppressed
19047,0,17158,Unreliable
19049,Suppressed,90180,Suppressed
19051,0,9017,Unreliable
19053,Suppressed,7890,Suppressed
19055,Suppressed,17069,Suppressed
19057,Suppressed,39138,Suppressed
19059,Suppressed,17153,Suppressed
19061,Suppressed,96854,Suppressed
19063,Suppressed,9253,Suppressed
19065,Suppressed,19660,Suppressed
19067,0,15761,Unreliable
19069,0,10124,Unreliable
19071,Suppressed,6993,Suppressed
19073,0,8981,Unreliable
19075,Suppressed,12304,Suppressed
19077,0,10720,Unreliable
19079,Suppressed,14952,Suppressed
19081,0,10712,Unreliable
19083,Suppressed,16868,Suppressed
19085,Suppressed,14134,Suppressed
19087,0,20067,Unreliable
19089,0,9187,Unreliable
19091,0,9547,Unreliable
19093,0,6841,Unreliable
19095,Suppressed,16141,Suppressed
19097,Suppressed,19432,Suppressed
19099,Suppressed,37147,Suppressed
19101,Suppressed,18381,Suppressed
19103,Suppressed,151260,Suppressed
19105,0,20744,Unreliable
