FIPS,Year,Cluster,Urban_Class
47145,2020,2,3
47173,2020,0,3
51027,2020,0,6
51167,2020,0,6
51195,2020,0,6
54003,2020,2,3
54005,2020,0,4
54009,2020,2,4
54011,2020,2,3
54019,2020,0,4
54029,2020,2,4
54039,2020,2,4
54043,2020,0,6
54045,2020,0,6
54047,2020,0,6
54053,2020,0,6
54055,2020,0,5
54059,2020,0,6
54067,2020,0,6
54081,2020,0,4
54089,2020,0,6
54099,2020,0,3
54109,2020,0,6
06033,2021,2,5
21019,2021,2,3
21025,2021,0,6
21037,2021,1,2
21043,2021,0,3
21049,2021,1,3
21065,2021,0,5
21081,2021,1,2
21115,2021,0,6
21117,2021,1,2
21127,2021,0,3
21131,2021,0,6
21135,2021,0,6
21159,2021,0,6
21175,2021,0,6
21189,2021,0,6
21191,2021,1,2
21193,2021,0,6
21197,2021,0,6
22117,2021,2,5
24015,2021,1,2
24510,2021,2,1
29510,2021,2,1
35028,2021,1,5
35039,2021,2,5
39001,2021,0,6
39015,2021,1,2
39053,2021,0,5
39101,2021,2,5
39131,2021,0,6
39145,2021,2,5
42101,2021,2,1
47021,2021,1,2
47025,2021,0,6
47145,2021,0,3
47173,2021,0,3
51027,2021,0,6
51167,2021,0,6
51195,2021,0,6
54003,2021,1,3
54005,2021,0,4
54009,2021,2,4
54011,2021,2,3
54019,2021,0,4
54029,2021,0,4
54039,2021,2,4
54043,2021,0,6
54045,2021,0,6
54047,2021,0,6
54053,2021,0,6
54055,2021,2,5
54059,2021,0,6
54067,2021,0,6
54081,2021,2,4
54089,2021,0,6
54099,2021,0,3
54109,2021,0,6
06033,2022,2,5
21019,2022,1,3
21025,2022,0,6
21037,2022,2,2
21043,2022,0,3
21049,2022,2,3
21065,2022,0,5
21081,2022,0,2
21115,2022,0,6
21117,2022,2,2
21127,2022,0,3
21131,2022,0,6
21135,2022,0,6
21159,2022,0,6
21175,2022,0,6
21189,2022,1,6
21191,2022,0,2
21193,2022,0,6
21197,2022,0,6
22117,2022,0,5
24015,2022,2,2
24510,2022,2,1
29510,2022,2,1
35028,2022,2,5
35039,2022,2,5
39001,2022,0,6
39015,2022,0,2
39053,2022,0,5
39101,2022,2,5
39131,2022,0,6
39145,2022,0,5
42101,2022,2,1
47021,2022,2,2
47025,2022,1,6
47145,2022,1,3
47173,2022,0,3
51027,2022,1,6
51167,2022,1,6
51195,2022,1,6
54003,2022,2,3
54005,2022,1,4
54009,2022,1,4
54011,2022,1,3
54019,2022,1,4
54029,2022,1,4
54039,2022,1,4
54043,2022,0,6
54045,2022,1,6
54047,2022,1,6
54053,2022,1,6
54055,2022,1,5
54059,2022,0,6
54067,2022,1,6
54081,2022,1,4
54089,2022,1,6
54099,2022,1,3
54109,2022,1,6
